Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,,,,OLD BEST,, New Model Best RMSE Value,WA,,NEW BEST,,DIFF,ALL BEST,,BEST ML,ALL BEST ML,,,,LR,KNN,NN,RF,SVR,POLY,WA,,LR Best,KNN best,NN best,RF best,SVR best,POLY best,WA best
3,53, KNN, KNN,210.8535831,91.23192889,249.9799742,69.58632813,0,3,0,50,57.14285714,,,,249.9799742,,210.8535831,310.9059616,,210.8535831,,39.12639114,210.8535831,, KNN, KNN,,,, ,210.8535831, , , , , ,, ,210.8535831, , , , , 
3,54, KNN, KNN,298.3956437,84.62226429,220.4683556,75.58681641,4,2,2,49.29577465,56.33802817,,,,220.4683556,,298.3956437,539.5005097,,298.3956437,,-77.92728803,220.4683556,, KNN,OLD,,,, ,298.3956437, , , , , ,, , , , , , , 
3,55, KNN, KNN,173.772924,48.09282307,211.6346203,55.54295654,0,0,0,50,56.94444444,,,,211.6346203,,173.772924,339.1925707,,173.772924,,37.86169631,173.772924,, KNN, KNN,,,, ,173.772924, , , , , ,, ,173.772924, , , , , 
3,56, KNN, SVR,697.4411709,107.0588369,608.834077,108.6663167,5,0,0,49.31506849,57.53424658,,,,608.834077,,697.4411709,718.5838238,,697.4411709,,-88.60709392,608.834077,, KNN,OLD,,,, ,697.4411709, , , , , ,, , , , , , , 
3,57, NN, SVR,123.5295061,23.25837382,120.6930162,23.81871338,2,0,0,48.64864865,58.10810811,,,,120.6930162,,123.5295061,144.5223852,,123.5295061,,-2.836489902,120.6930162,, NN,OLD,,,, , ,123.5295061, , , , ,, , , , , , , 
3,58, NN, SVR,37.30125517,9.616910566,38.04718664,10.43789266,0,0,0,49.33333333,58.66666667,,,,38.04718664,,37.30125517,260.9973699,,37.30125517,,0.745931475,37.30125517,, NN, NN,,,, , ,37.30125517, , , , ,, , ,37.30125517, , , , 
3,59, KNN, KNN,25.67156887,4.477266512,27.36681527,5.055919902,0,0,0,50,59.21052632,,,,27.36681527,,25.67156887,191.606102,,25.67156887,,1.695246406,25.67156887,, KNN, KNN,,,, ,25.67156887, , , , , ,, ,25.67156887, , , , , 
3,60, SVR, SVR,0.155551878,0.155521382,3.98909022,1.096715037,0,0,0,50.64935065,59.74025974,,,,3.98909022,,0.155551878,381.4990515,,0.155551878,,3.833538341,0.155551878,, SVR, SVR,,,, , , , ,0.155551878, , ,, , , , ,0.155551878, , 
3,61, RF, RF,0.002220511,0.000286667,7.396711729,2.205456797,0,0,0,51.28205128,60.25641026,,,,7.396711729,,0.002220511,223.3993346,,0.002220511,,7.394491218,0.002220511,, RF, RF,,,, , , ,0.002220511, , , ,, , , ,0.002220511, , , 
4,25, POLY, RF,0.219471109,0.028378334,115.6487588,34.05161336,0,0,0,51.89873418,60.75949367,,,,115.6487588,,0.219471109,329.0155995,,0.219471109,,115.4292877,0.219471109,, POLY, POLY,,,, , , , , ,0.219471109, ,, , , , , ,0.219471109, 
4,26, LR, RF,71.67522693,13.4121652,220.3164485,75.91436361,0,0,0,52.5,61.25,,,,220.3164485,,71.67522693,340.7794093,,71.67522693,,148.6412216,71.67522693,, LR, LR,,,,71.67522693, , , , , , ,,71.67522693, , , , , , 
4,27, KNN, KNN,153.9130467,53.35798404,262.0816953,120.945931,0,0,0,53.08641975,61.72839506,,,,262.0816953,,153.9130467,422.1895309,,153.9130467,,108.1686486,153.9130467,, KNN, KNN,,,, ,153.9130467, , , , , ,, ,153.9130467, , , , , 
4,28, LR, LR,456.2437043,212.5864955,361.601922,241.7127604,2,0,0,52.43902439,62.19512195,,,,361.601922,,456.2437043,460.9230238,,456.2437043,,-94.64178226,361.601922,, LR,OLD,,,,456.2437043, , , , , , ,, , , , , , , 
4,29, LR, LR,902.8519155,420.7722624,1009.455827,453.9488281,0,0,0,53.01204819,62.65060241,,,,1009.455827,,902.8519155,1136.52918,,902.8519155,,106.6039115,902.8519155,, LR, LR,,,,902.8519155, , , , , , ,,902.8519155, , , , , , 
4,30, RF, SVR,1075.244132,362.2670966,830.9835137,362.3791341,5,0,0,52.38095238,63.0952381,,,,830.9835137,,1075.244132,1096.828463,,1075.244132,,-244.2606179,830.9835137,, RF,OLD,,,, , , ,1075.244132, , , ,, , , , , , , 
4,31, KNN, SVR,329.5574382,129.3512615,311.0672114,163.424056,1,0,0,51.76470588,63.52941176,,,,311.0672114,,329.5574382,476.4527784,,329.5574382,,-18.49022683,311.0672114,, KNN,OLD,,,, ,329.5574382, , , , , ,, , , , , , , 
4,32, NN, SVR,100.5842757,27.04842594,284.2635074,114.8805176,0,0,0,52.3255814,63.95348837,,,,284.2635074,,100.5842757,868.4345303,,100.5842757,,183.6792318,100.5842757,, NN, NN,,,, , ,100.5842757, , , , ,, , ,100.5842757, , , , 
4,33, KNN, KNN,155.8014186,46.59660456,301.7083995,114.8246094,0,0,0,52.87356322,64.36781609,,,,301.7083995,,155.8014186,1991.990897,,155.8014186,,145.906981,155.8014186,, KNN, KNN,,,, ,155.8014186, , , , , ,, ,155.8014186, , , , , 
4,34, KNN, KNN,335.4905147,98.07618301,333.8666051,98.98591309,1,0,0,52.27272727,64.77272727,,,,333.8666051,,335.4905147,862.6402108,,335.4905147,,-1.623909595,333.8666051,, KNN,OLD,,,, ,335.4905147, , , , , ,, , , , , , , 
4,35, KNN, KNN,557.4588387,139.9934548,369.3962777,136.4872721,2,1,0,51.68539326,64.04494382,,,,369.3962777,,557.4588387,673.2577763,,557.4588387,,-188.062561,369.3962777,, KNN,OLD,,,, ,557.4588387, , , , , ,, , , , , , , 
4,36, KNN, RF,1312.296409,226.977521,448.6587233,83.36805013,10,3,3,51.11111111,63.33333333,,,,448.6587233,,1312.296409,749.6626352,,749.6626352,,-301.0039119,448.6587233,,WA,OLD,,,, , , , , , ,749.6626352,, , , , , , , 
4,37, KNN, SVR,772.7048101,114.5168315,207.6869941,93.90916341,12,3,3,50.54945055,62.63736264,,,,207.6869941,,772.7048101,597.8645332,,597.8645332,,-390.1775391,207.6869941,,WA,OLD,,,, , , , , , ,597.8645332,, , , , , , , 
4,38, NN, RF,62.00372838,11.91390177,55.08322538,11.31037598,4,1,1,50,61.95652174,,,,55.08322538,,62.00372838,176.4479562,,62.00372838,,-6.920502992,55.08322538,, NN,OLD,,,, , ,62.00372838, , , , ,, , , , , , , 
4,39, SVR, SVR,0.543005109,0.169561956,3.77826506,1.366196823,0,0,0,50.53763441,62.3655914,,,,3.77826506,,0.543005109,702.0182334,,0.543005109,,3.235259952,0.543005109,, SVR, SVR,,,, , , , ,0.543005109, , ,, , , , ,0.543005109, , 
4,40, RF, RF,0,0,5.753567062,1.358486557,0,0,0,51.06382979,62.76595745,,,,5.753567062,,0,1156.089385,,0,,5.753567062,0,, RF, RF,,,, , , ,0, , , ,, , , ,0, , , 
4,48, NN, RF,4.448893821,0.816281668,1.647938683,0.866430028,1,0,0,50.52631579,63.15789474,,,,1.647938683,,4.448893821,71.38593355,,4.448893821,,-2.800955137,1.647938683,, NN,OLD,,,, , ,4.448893821, , , , ,, , , , , , , 
