Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
4, 25, SVR, KNN, 0.04642244015189468, 0.012162142992019653, 911.8137936915614, 167.71749834947184, 100.0, 100.0
4, 26, SVR, SVR, 17.76248292676528, 3.7757271161001005, 751.5751170884424, 141.23489269578315, 100.0, 100.0
4, 27, KNN, SVR, 105.9705056668896, 30.134719425552195, 400.8955599654354, 154.82919546274042, 100.0, 100.0
4, 28, LR, LR, 505.23030010592856, 165.08882102360312, 632.6416724452205, 220.95838448660717, 100.0, 100.0
4, 29, KNN, NN, 654.7818935142245, 201.41899143731754, 1267.8245935459686, 425.19447916666667, 100.0, 100.0
4, 30, LR, SVR, 821.5340517317968, 194.0454200621629, 1396.6973544759078, 502.8487243652344, 100.0, 100.0
4, 31, NN, SVR, 36.08296212977841, 6.7459994441349185, 1140.4759569805512, 268.88809419014086, 100.0, 100.0
4, 32, NN, SVR, 63.802920278224526, 15.888209196840714, 883.4973889965021, 207.1259258319805, 100.0, 100.0
4, 33, KNN, KNN, 585.755206268903, 107.73647929540269, 980.8016577738292, 237.32870565878375, 100.0, 100.0
4, 34, KNN, SVR, 181.355014331806, 39.776497275944074, 919.9076961801796, 221.46618445444915, 100.0, 100.0
4, 35, LR, RF, 408.8711744115733, 105.73145830057561, 583.3423199932282, 143.87994684938525, 100.0, 100.0
4, 36, LR, SVR, 138.7436331442315, 34.78971450884289, 1118.0756086538454, 221.403564453125, 100.0, 100.0
4, 37, NN, SVR, 137.241120004175, 33.66032364919119, 583.763247739839, 107.1826171875, 100.0, 100.0
4, 38, NN, SVR, 60.761267460570245, 12.601928251121869, 133.76943005285878, 28.70471598307292, 100.0, 100.0
4, 39, NN, NN, 9.941417596965518, 9.280948070143866, 57.20816560344957, 14.396532763231981, 100.0, 100.0
4, 41, LR, LR, 0.0, 0.0, 192.12208158035668, 27.204326923076927, 100.0, 100.0
4, 42, LR, LR, 0.0, 0.0, 312.0234640299719, 42.601058799342105, 100.0, 100.0
4, 43, LR, LR, 0.0, 0.0, 371.9118882633077, 58.62856702302632, 100.0, 100.0
4, 44, LR, LR, 0.0, 0.0, 734.8628428825765, 116.58139070900538, 100.0, 100.0
4, 45, LR, LR, 0.0, 0.0, 1478.3681955924005, 200.88818359375, 100.0, 100.0
4, 46, LR, LR, 0.0, 0.0, 1469.8016563777949, 272.68381569602275, 100.0, 100.0
4, 47, LR, LR, 0.0, 0.0, 944.7271052376906, 160.44413843047752, 100.0, 100.0
4, 48, SVR, SVR, 0.18306373559315506, 0.11547676054073903, 392.20759505528144, 74.143310546875, 100.0, 100.0
4, 49, LR, LR, 188.25731953567436, 31.117192499802876, 368.04659231902565, 87.91013327205883, 100.0, 100.0
4, 50, SVR, SVR, 3.629562385968971, 0.5776056668818309, 349.21129794473273, 84.40667849170919, 100.0, 100.0
4, 51, RF, RF, 63.52064156747813, 18.980089719444518, 1111.23034428006, 256.88126429115846, 100.0, 100.0
4, 52, KNN, KNN, 617.831977121601, 107.55813115845834, 1054.220156291386, 267.8213227370689, 100.0, 100.0
4, 53, RF, RF, 828.2352709552931, 157.31529844520614, 1083.7718299117876, 275.16377065373564, 100.0, 100.0
4, 54, KNN, KNN, 186.74390254704502, 38.76371321454645, 1114.161639978688, 293.85725, 100.0, 100.0
4, 55, LR, SVR, 88.31714167759837, 40.106006203632404, 670.8652195911956, 174.73865792410714, 100.0, 100.0
4, 56, LR, KNN, 387.01088669097686, 99.99455538178307, 576.4271644033347, 143.93380926724137, 100.0, 100.0
